id,number,book_id,description,book_part,summary,interpretation
2,1.2,1,По голубой плитке внутреннего двора в кухню,1,"POV – Пират Апереткин.
Время и место действия – 1) утро 18 декабря 1944 года, Лондон, квартира Апереткина в Челси; 2) Судан (?), 1935 год; 3) Лондон, 1936-1939.
Тэги: ракета, паранойя, спецслужбы, чужие фантазии.","1. Народ в квартире постепенно просыпается, и Апереткин начинает готовить знаменитый Банановый Завтрак. Он коротко переговаривается с Бомбажем, заметившим запуск ФАУ-2, звонит командованию в Стэнмор и узнает, что ракету «потеряли над береговой линией» (стр.8).
Во время Завтрака, именуемого «заклятием от падающих объектов» (стр.10), раздается звонок от начальства. Пирата информируют, что некая почта, доставленная ему «весьма пленительным манером» (стр.11), ожидает его в Гринвиче. Апереткин выезжает.
Во время поездки его накрывает «Пиратово Состояние» - «талант… влезать в чужие фантазии: то есть даже способность взять на себя бремя правления ими» (стр.12). На этот раз фантазия, на 100 процентов состоящая из паранойи, принадлежит румынскому беженцу-роялисту. Необычный талант Пирата стал причиной его вербовки британскими спецслужбами в 1935 году. Он последовательно вспоминает: первую встречу с владельцем приснившегося ему сна (слюнявым любителем девочек); свое пребывание в Судане и погружение в фантазию одного из сослуживцев; работу с аденоидными видениями некоего лорда Болторарда Осмо (уже по поручению Фирмы).
 
2. В главе I-2 представлены все главные стилевые особенности романа.
Особенность №1. Смешение голосов персонажей и голоса автора-рассказчика. Через полсотни лет после «Улисса» прием этот доведен Пинчоном до абсолютного совершенства. Текст подобен пестрому ковру, сотканному из слов всех возможных и невозможных персонажей (включая тех, что прошлись лишь по одному абзацу) и слов рассказчика, который то ли играет, то ли окончательно заигрался в шизофреника. Вот Апереткин на кухне: «Включить американский блендер… несколько бананов порубить на куски. Сварить кофе в электрическом кофейнике. Из ледника достать бидон с молоком. В молоке размять бананы». Что это – внутренний голос Пирата или его инструкция по эксплуатации, диктуемая всемогущим создателем? Другой пример: «ради него сощипнул ее <ракету> Господь с безвоздушных небес, точно стальной банан» - то ли автор возвысил свое творенье, то ли творенье вконец обурело от собственной гордыни. Вот Апереткин едет в Гринвич, смотрит на поющих и разбирающих завалы американских саперов, как вдруг: «Нет, они придуриваются, будто народники, но я-то знаю, они из Ясс, от Кодряну, его люди, члены Лиги, они… да они убьют за него – они же принесли присягу! Меня пытаются кокнуть… трансильванские мадъяры, они же заклятья знают… шепчут по ночам…». Из контекста следует, что это должны быть мысли Апереткина, но при чем здесь мадъяры, Яссы, Кодряну, Лига? Это вообще кто? Тут вкрадчиво подступает автор: «Так-так – хррумп – а вот, хе-хе…» и со смешочками объясняет, что, оказывается, наш Пират обладает уникальной способностью проникать в чужие фантазии (если угодно, брать их на абордаж), и как раз сейчас, в автомобиле, на него накатила паранойя «румынского беженца-роялиста», прохаживающегося где-то неподалеку. Вот так, без малейшего предупреждения, читателя шокируют трижды: а) немотивированным скачком из головы одного персонажа в голову другого (нового, доселе неизвестного и, надо отметить, абсолютно третьестепенного); б) не обусловленным предыдущим текстом набором малоизвестных исторических реалий (все ж в курсе про румынских фашистов, а как же); в) резким сюжетным разворотом, когда английский разведчик оказывается еще и ментальным шпионом. Три ингредиента образуют убийственный коктейль. В дальнейшем угощать таким будут… часто.
Особенность №2. Метаморфозы рассказчика. Рассказчик может: просто рассказывать; говорить с персонажем; говорить с читателем; призвать персонажа или читателя к действию («Замурлычь придурочную мелодийку, которой тебя научили…»); подкинуть читателю вместо подсказки дымовую шашку очередной загадки («Дековерли и Пат с их суточной щетиной, колтунами, покрасневшими глазами и миазмами гнилостного дыхания – измочаленные боги, кои подхлестывают копотливый ледник»); прервать рассказ и отвлечься на постороннюю тему; откомментировать происходящее; откомментировать происходящее так, будто он не автор, а всего лишь зритель, который в шоке от всего происходящего ничуть не меньше вашего. Создается ощущение, что читатель имеет дело с полифоническим рассказчиком, доверять которому нельзя ни на йоту; местами он поразительно точен, а местами удивительно оплошен; и та чертовщина, которая периодически происходит в тексте, есть порожденье его одурманенной головы или это действительно происходит… где?
Особенность №3. Исторические детали. Пинчон обожает вкрапливать в текст «неочевидные» исторические детали, расшифровка которых, как правило, занимает не менее часа, спасибо гуглу. В главе I-2 это уже упомянутые Корнелиу Зеля Кодряну и Лига Святого Михаила.
Особенность №4. Прерывающийся нарратив. История может неожиданно, иногда на середине предложения, прерваться и замениться другой историей, на первый взгляд никак не связанной с первой (пример – тот же эпизод с румынским параноиком). Это нормально, привыкайте.
Особенность № 5. Открытые истории. «Радуга тяготения» — это грандиозный сад расходящихся тропок. Сюжетные линии не заканчиваются, или заканчиваются неизвестно как, или разветвляются, множатся, закольцовываются, теряют свои начало, середину и в результате оказываются чем-то совершенно другим. Не существует одного ответа ни на один вопрос, любое предположение не является ни абсолютно истинным, ни абсолютно ложным, каждая версия что-то объясняет, и ни одна из версий не объясняет ничего. Подробнее эта особенность рассмотрена далее[4], здесь же разберем приключения первой упавшей ракеты. Поначалу в I-1 Апереткин видит, как «далеко к востоку, внизу розового неба что-то блеснуло очень ярко». Он думает о новой звезде, потом вспоминает германскую ракетную бомбу, а потом, прикинув расстояние до возможного места пуска, предполагает, что «инверсионный след за 200 миль не разглядишь, ведь так?». То есть, то ли ракета, то ли нет. Далее, в I-2, Бомбаж говорит, что ракета, видимо, упала в море, а из Стэнмора сообщают, что ее потеряли над береговой линией. Неопределенность вроде бы исчезла. Но тут Апереткину звонит его начальник и сообщает, что ФАУ упала в Гринвиче и не взорвалась, ибо… доставила ему послание. Так. Уже третья версия – то есть да, ракета, да, долетела, но не взорвалась, потому… Что? Английский разведчик получает письмо из Голландии посредством ФАУ-2? Ну да, а вы что, думали, это история про бомбардировку Лондона? Как бы ни так, это история о доставке спецпочты… Но и это еще не конец. В I-4 озвучивается официальная версия: «очередной преждевременный разрыв в воздухе, комья горящей ракеты обдали окрестности на мили вокруг, главным образом – реку, всего один сохранил хоть какую-то форму…». Итак, ракета была, прилетела и все-таки взорвалась. Эта очень простой пример (причем окончательный ответ будет дан только в I-11), и так просто будет далеко не всегда.
Особенность №6. Флешбэки и флэшфорварды. Дополнительное удовольствие тем, кому мало предыдущего. Помимо прерывов открытых нарративов, текст постоянно будет прыгать по времени и пространству. И если в I-2 история Апереткина относительно плавно перемещается во времена его юности (встреча с «умственным отрепышем») и ранней зрелости (в 1936-м ему 33 года), то в дальнейшем читателя внезапно будет уносить на несколько сотен лет и на несколько тысяч километров.
Особенность №7. Фантасмагории. Ну и чтоб совсем добить выживших. Это не реалистичный роман. Это не фантастический роман. Это ядреная и ядерная смесь того и другого. Реален ли Банановый завтрак? Маловероятен, но в целом вполне возможен. А пиратская способность Апереткина? А фантазия лорда Осмо о гигантском Аденоиде? В принципе, любая фантазия вполне реальна, потому что человек может фантазировать о чем угодно, но этот Аденоид так проникает в текст, что становится частью действия, а не только порожденьем лордовой головы, и будьте уверены, он еще вернется (как и тема носов в целом). Фантасмагорий в романе так много, что сложно дать определение тому, что такое фантасмагория. Захвативший Лондон гигантский Аденоид – это еще относительно безобидно.
Особенность №8. Многозначность образов. Ну как безобидно. Посмотрим, что скрывается за этим самым Аденоидом (будет спойлер!). Выглядит он как «гигантский членоподобный силуэт», то есть напоминает фаллос и, соответственно, – ракету ФАУ-2 (параллель между фаллосом и ФАУ — это общее место в книге). Воспаление аденоидов представляет собой болезнь носоглотки, при который произношение становится гнусавым; в романе гнусавит немецкий президент Гинденбург (в фантазии Лени Пёклер, глава I-19) и некий Ричард М. Жлобб (глава IV-12), по прозвищу «Аденоид», в котором без труда угадывается Ричард М. Никсон. Как отмечается в некоторых комментариях, гнусавость есть признак принадлежности к британской элите (эдакий особый высокомерный говор), в связи с чем обращает на себя внимание беспомощность перед Аденоидом «эдвардианской медицины», отсылающей к английскому королю Эдуарду VIII, открыто симпатизировавшему Адольфу Гитлеру, пародия на которого в «Великом диктаторе» Чаплина носила имя Аденоид Хинкель.
Особенность № 9. Говорящие имена. Строго говоря, они появились еще в I-1 (тот же капитан «Пират» Апереткин или, в оригинале Geoffrey («Pirate») Prentice), но в I-2 их намного больше. Расшифровка некоторых требует великолепного знания английского, как в случае с Бартли Кустервом (Bartley Gobbitch), понимание других особой сложности не представляет (капрал Уэйн). Почти во всех именах в «Радуге тяготения» скрыт некий смысл.
Особенность №10. «Сообщества» персонажей. Роман населен примерно также плотно, как «Улисс» Джойса. Кстати, отсылок, подмигиваний, кивков и всяких реверансов модернистскому шедевру будет множество. Например, первое издание «Радуги» (в том числе и русскоязычное), как и первое издание «Улисса», насчитывает 760 страниц. Первая глава «Радуги» с поднявшимся на крышу Апереткиным переосмысляет начало первой главы «Улисса» с Быком Маллиганом на вершине башни Мартелла: пародия на мессу превращается в вИдение приходящей с неба кары. Даже оперетта Салливана и Гилберта, вдохновившись которой Пинчон дал имя Пирату, звучит в голове прогуливающегося по жаркому Дублину мистера Блума («Как завидна судьба полисмена», 8 эпизод). Однако, если Джойс размещает дублинцев довольно-таки беспорядочно, то сотни своих персонажей Пинчон объединяет в «сообщества». Принадлежность к тому или иному сообществу становится «меткой» даже единожды упомянутого персонажа, благодаря которой он хоть как-то  закрепляется в памяти читателя. Пример: «Пиратова Банда». В I-2 семеро ее членов (Пират, Тедди Бомбаж, Осби Щипчон, Бартли Кустерв, Дековерли Сиф, Майер Мыш и Пат Териц) наслаждаются Банановым Завтраком. Четверо из них никогда больше в книге не появятся (лишь Дековерли Сиф промелькнет в I-4), трое же сыграют в повествовании очень важную роль. Таких сообществ будет множество: работники «Белого явления», семья Ленитропа, члены Шварцкоммандо, нидерландская подпольная группа, ученые Пенемюнде и прочая, и прочая. Особую радость доставят старые знакомцы – персонажи первого пинчоновского романа «V.», главная героиня которого, под личиной Некоей Виконтессы (стр.16), неожиданно обнаруживается в самом конце этой, столь богатой на разные хитрости, второй главы «Радуги тяготения».
Особенность №11. Списки вообще. Древний как сама литература прием, встречающийся много где и много у кого («я список кораблей прочел до середины»), у Пинчона, разумеется, тоже. Не то, чтоб очень часто, но бывает. Как правило, это очень хорошо, как в случае со списком банановых блюд.
Особенность №12. Песни. В этой главе исполнено четыре песни: одну поет Осби Щипчон перед Банановым завтраком, вторую – американские саперы на пути Апереткина из Челси в Гринвич, третью – сам Апереткин по авторской просьбе (или приказанию?) в каком-то фантасмагорическом представлении, четвертую – лорд Болторард Осмо. Вне зависимости от того, включены эти музыкальные номера в действие или звучат у кого-то в голове, они создают атмосферу нереальности, театральности и кинематографичности происходящего. Песен будет много, разного стиля и содержания, пародийных и нет.
Особенность №13. Отсылки к кинофильмам и комиксам. Будет много отсылок к Голливуду 30-40-х годов (в этой главе упомянута не самая известная роль Кэри Гранта в «Ганга Дине» (1939)) и немецкому экспрессионизму 20-х. Переводчик Макс Немцов на одной из встреч говорил, что посмотрел все упомянутые в романе фильмы. Отсылки к комиксам состоят не только в упоминании известных персонажей (как-то Бэтмена в этой главе), но и в построении и описании многих сцен. Если в какой-то момент вам покажется, что вы смотрите фильм или читаете комикс, знайте, что вам не кажется; именно такого визуального эффекта добивался автор. 
Особенность №14. Отсылки к эзотерическим источникам. Поначалу эти оккультные штучки почти незаметны, но чем дальше в лес, тем тернистей будет путь без карт Таро, Сефирот, германской мифологии, гороскопов, Книги перемен и святцев. В главе I-2 на это лишь слегка намекнули гексаграммой Мэн.
Особенность №15. Юмор. Пинчоновский юмор виден уже в «говорящих именах». Так, одного из членов «Пиратовой банды» зовут Maurice (“Saxophone”) Reed, то есть тростинка (в русском переводе слышно, как в этом имени шумит камыш (Майер («Саксофонка») Мыш)); его приятель Joaquin Stick, то есть трость для ходьбы; таким образом, они образуют забавную парочку толстого и тонкого. П.М.С. Блэккетт утверждает, что «взрывами эмоций войну не раскочегаришь», хотя его инициалы, напротив, взрывы эмоций как раз-таки предполагают. Гигантскому Аденоиду «начихать» на алиенистов в черных пиджаках, и совсем не хочется представлять, как это может выглядеть. Как видно из этих примеров, шутки нередко виртуозно спрятаны в текст, и чтобы сполна ими насладиться, нужно обдумывать и обыгрывать почти каждое слово.
3. В этой главе снова появляются «Они» – одно из ключевых понятий в романе, которое пока объясняется очень просто: это Фирма, секретная английская служба (по иной версии – сама британская Корона), в которой работает Апереткин (стр.14).
В оригинальном тексте капрал Уэйн именуется «batman» («his batman, a Corporal Wayne»); Брюсом Уэйном зовут комиксового Бэтмена. Имя Уэйн, возможно, также связано с известным американским актером Джоном Уэйном, и (маловероятно, но все же) с американским антигероем «капралом Уэйном», неким Джерри Уэйном Пэрришем, в начале 60-х годов дезертировавшим из армии США и бежавшим в КНДР.
В главе возникает странноватый мотив усов (стр.16), видимо, означающий принадлежность персонажа к секретным службам.
 
 
[1] В английском и американском литературоведении применяется термин «point of view, POV». Несколько упрощая, можно сказать, что это обозначение фигуры рассказчика. В «Радуге тяготения» точка зрения (рассказчик) – это повествование от третьего лица персонажа (что не исключает периодического перехода на повествование от первого лица персонажа), всегда ограниченное его характеристиками. Иногда таких персонажей в главе несколько (см., например, I-14); иногда среди них можно выделить главного и факультативного (см., например, I-19). Есть главы, в которых рассказчиком выступает повествователь, тогда в качестве POV указывается автор. Следует оговориться, что проблема повествователя (нарративного субъекта) в «Радуге тяготения» весьма сложна, и указание POV делается исключительно для облегчения понимания содержания главы при первом ее прочтении.
[2] Объяснения имен и их перевода даны в разделе 6 «Персонажи романа».
[3] См. _________"
3,1.3,1,"У Тедди Бомбажа — обеденный перерыв, только обед сегодня…",1,"POV – Тедди Бомбаж.
Время и место действия – 12 часов 18 декабря 1944 года, Лондон, офис АХТУНГА.
Тэги: спецслужбы, паранойя.","1. В тот же день в полдень Бомбаж отправляется в здание близ Гроувнор-сквер, где, помимо прочего, располагается АХТУНГ (Администрация хозяйственно-технических управлений Норд-Германии). Он заходит в кабинет своего приятеля лейтенанта Оливера Муссор-Маффика и его сослуживца американца Энии Ленитропа. По случаю обеда никого нет, и Бомбаж фотографирует висящую на стене карту Лондона, на которой Ленитроп разноцветными звездочками отмечает места нахождения своих многочисленных любовниц. Прозрачно намекается, что снимки заказаны Бомбажу Фирмой (британской секретной службой или Короной), сэкономившей на цветной фотопленке.
 
2. Три персонажа главы описаны посредством перечисления принадлежащих им вещей. Тедди Бомбаж – это его «стильный вещмешок из кенгуриной шкуры» (стр.17), полный дорогих предметов отнюдь не первой необходимости. «Стол Галопа чист» (стр.18). Трехуровневый хлам на столе у Ленитропа (напоминающий импасто крыши дома Апереткина и палимпсеты верхних губ усатых оперативников) обнаруживает массу примет его будущих приключений. Сразу запоминается незаконченный пазл с девушкой, собакой и то ли взрывом, то ли закатом, а вот перечитывание этого фрагмента по завершении романа будет неплохой проверкой памяти (кстати, столь подробный список имущества на столе как бы намекает, кто тут у нас главный герой). Возможно, что раскрытие образов персонажей через их многослойные вещи восходит не только к Флоберу (см. знаменитое описание каскетки Шарля Бовари в 1 главе романа), но и к Гоголю, с набоковской книгой о котором («Николай Гоголь» (1941)) Пинчон наверняка был знаком. Так, по мысли Набокова, чичиковская шкатулка – это «точная модель его округлой души», которая, в свою очередь, отражается в дотошно описанном экипаже Коробочки. Если эта догадка верна, то Аденоид из предыдущей главы может быть дальним родственником сбежавшего носа майора Ковалева.
Очередной список в главе – это девушки Ленитропа, хотя, «возможно, таких и девушек-то нет» (стр.17). Карту Лондона с ними Ленитроп начал делать «прошлой осенью» - имеется в виду осень текущего, 1944-го года, а не 43-го, как может показаться.
Любопытно, сколь разные подарки сделали матери своим сыновьям – у Тедди это щеточки для усов из ювелирного магазина, а у Энии – конфетки-леденцы."
4,1.4,1,"Ветер сдвинулся к юго-западу, и барометр падает.",1,"POV – Эния Ленитроп.
Время и место действия – после 12 часов 18 декабря 1944 года, Лондон, Гринвич; сентябрь 1944 года, Лондон; XVIII век – 1931 год, штат Массачусетс.
Тэги: спецслужбы, паранойя, божья кара.","1. В тот же день «чуть за полдень» Ленитроп приезжает к месту падения ФАУ-2 в Гринвиче. От ракеты остался только графитный цилиндр (размером со среднестатистический пенис), в который «похоже, напиханы бумаги»; его забирает Апереткин.
Ленитроп вспоминает, что утром он получил направление в некий госпиталь в Ист-Энде, и предполагает, что ему предстоит очередная психодиагностика. Затем его мысли обращаются к недавнему прошлому и проделывают следующий извилистый путь.
В разговоре с Галопом в пабе «Машина и багор» о страхе перед ФАУ-2 (стр. 21-22) упоминается субботний конфуз с двумя девицами, Нормой и Марджори (стр. 22);
который навевает поэтичные образы о мимолетной красоте амурных свиданий (стр. 22-23);
после чего Галоп в том же разговоре советует Энии, дабы избавиться от страха, выезжать с инспекциями на места взрывов (стр. 23-24);
после чего следуют воспоминания об этих выездах и о спасённой вчера (то есть 17 декабря) девочке (стр. 23-24);
после чего идет рассказ о паранойе, раздувшейся до того, что все ФАУ-2 имеют цель убить именно его, Ленитропа, о чем происходит другой разговор с Галопом (стр. 24-25);
за которым накатывает воспоминание о дне первой атаки ФАУ-2 на Лондон (случившейся в пятницу, 8 сентября 1944 г.) (кстати, от метро «Бонд-стрит», куда шел Ленитроп, до места падения ракеты – примерно 3 км) (стр. 26).
В эту пятницу Ленитроп размышляет о тех же девицах, субботнее происшествие с которыми рассказано Галопу в самом начале, и из этого изящного круглого флешбэка следует, что первый разговор с Галопом состоялся вскоре после 8 сентября. Значит, страх смерти от ФАУ-2 стал одолевать Ленитропа сразу же после первых ракетных ударов, а некоторое время спустя он перерос в жестокую паранойю с религиозным уклоном. Из истории о Норме и Марджори также следует, что Ленитроп начал встречаться с девушками и, главное, отмечать их на карте Лондона до ФАУ-2 (ибо еще до встречи с ними в клубе в субботу 9 сентября они отмечены на его карте «серебряными звёздами»).
Далее в главе описано видение (очень схожее по настроению с началом романа) «железного», дымного и зачарованного Лондона. Дым символизирует «верховное присутствие» (стр. 26), наряду с углем и нефтью он является маркером неких враждебных сил, мертвенная атмосфера которых ощущается уже сейчас, хотя смысл их власти прояснится несколько позже.
Заканчивается глава обстоятельным рассказом о предках Ленитропа из городка Мандаборо, округ Беркшир, штат Массачусетс, болотистой и «колдовской» земли[1]. Были они неудачливыми фермерами и неудачливыми предпринимателями, промышлявшими свиноводством, рубкой леса и добычей камня. От них Энии досталась по наследству способность видеть грозную небесную длань, которую он боится «до усрачки», так же как он боится Северного сияния, любоваться которым его в детстве будили отец и старший брат Хоган (довольно редкое явление на широтах Массачусетса, но все же случается). Ленитропу чудилось, что занавес распахнется и духи Севера покажут свое представление, обнажат «зиму, о какой ни один из нас не догадывался…» (стр.29). Сочетание этих апокалиптических страхов и ужаса от немецкой ракеты порождает у него паранойю и… эрекцию (стр.27,29).
 
2. Не то чтоб безо всякой связи с эрекцией потихоньку раскрывается сюжет о девушках Ленитропа. Цвета обозначающих их на карте звездочек выбраны не произвольно: они отражают «его ощущенья в тот день, от посиненья до позолоты» (стр.22). Эти же краски расцвечивают сад Ленитропа в его лирической фантазии (стр.23), в которой желто-фиолетовые анютины глазки вдруг сравниваются с прыщами. Уродство проникает в красоту, а смерть в жизнь, ведь сочетание желтого и синего (фиолетового) ассоциируется в книге с цветами пламени при запуске ФАУ-2 (например, «При подаче самотеком пламя ярко-желтое. Потом взвывает турбина. Пламя внезапно синеет» (стр.758)), а места встреч Ленитропа с девушками с… Но об этом чуть позже (I-13). Первая девушка (Синтия), с которой Эния знакомится после падения ФАУ-2 и которая шуточно подтверждает его паранойю и выдает его приблизительный портрет («толстенький пухленький америкашечка») – является блондинкой.
Если оставить в стороне юмор сюжета с доставкой послания ракетой и рассмотреть его серьезно, становится очевидным, что такая «почта» статистически невозможна. Точность попадания V-2 составляла от 10 до 20 км; размер графитного цилиндра с посланием - 6 дюймов в длину и 2 дюйма в диаметре (15 и 5 см соответственно), что примерно в 92 раза меньше размеров ракеты (14 м и 1,65 м соответственно)). С такими характеристиками вероятность того, что ракета упадет точно в нулевой меридиан Гринвича и среди ее не упавших в реку обломков будет найден искомый цилиндр, практически равна нулю. Следовательно, первая запущенная в романе ФАУ-2 по своей сути фантастична.
Упоминается некое «досье» на Ленитропа, и, несколько ранее, некие его «рефлексы» (стр. 23), а также и подозрение о том, что его «держат за сосунка».
Вновь мелькают усы как отличительный знак (у военных из кордона, оцепившего место падения ФАУ-2, «громадные верхние губы покрыты усами во весь рот»).
Род Ленитропа принадлежит к конгрегационалистам, английской ветви кальвинизма, представители которой, начиная с XVII века, массово эмигрировали в Америку. В охватившей Ленитропа паранойе заметно влияние его кальвинисткого воспитания: в лондонских руинах он начинает прозревать Божье провидение, доказательство суетности жизни и всеохватную силу смерти. Протестантская общая доктринальная идея предопределенности божественной кары в Ленитопропе умножена на семейную «необычной чувствительностью к тому, что являет небо», которая, в свою очередь, еще и усилена его индивидуальной способностью понимать, что за хрупкой границей мира находится нечто холодное, страшное и неживое: то, что чуть не выступило из-за занавеса, когда в детстве горел отель «Эспинуол» и переливалось Северное сияние. Однако «отменить» этот неизбежный мертвый ужас способна всего лишь слабая улыбка спасенной из развалов маленькой девочки, похожей на Ширли Темпл. Тут намечен один из главных конфликтов романа, обозначить который как «любовь против смерти» было бы очень большим упрощением.
Другой конфликт угадывается в заключительной строфе стихотворения Эмили Дикинсон: «В распаде — порядок: труд // Дьявола нетороплив; // Ничто не рушится вмиг — // Крах всегда терпелив». Если разрушающая кара приходит с неба, то ставший синонимом распада порядок является делом рук дьявола – и кажется, что небеса с адом на этот раз о чем-то договорились.
В паранойе Ленитропа возникают таинственные Они (стр.25), и сейчас это вовсе не британская разведка; «Они» охватывают вероятности гораздо, гораздо шире, нежели Нацистская Германия» (стр.25).
Норма и Марджори, испугавшие Ленитропа в клубе «Фрик-Фрак» — это первые из многочисленных «абсолютных» двойников в романе[2]. Сверкая серебряными звездочками на его карте, на танцполе они освещены «бледно-лиловым», и этот мертвецкий цвет девушек усиливает ленитроповский ужас от новых немецких ракет, первые из которых прилетели как раз вчера.
В главе упомянуто «долгое везение» Ленитропа во время первого Блица, длившегося с сентября 1940-го по май 1941 года. Слово «долгое» свидетельствует о том, что он оказался в Великобритании не под конец немецких бомбардировок, а в самом их начале (или даже раньше). Косвенное подтверждение этой даты (осень 1940 г.) содержится в разговоре Ленитропа с Галопом, состоявшемся осенью 1944 г., когда он говорит о том, что «на четыре года затормозил» со страхом смерти (стр.25). Познакомились же друзья три года назад, то есть осенью 41-го.
«Обратный отсчет» перед запуском ракеты, упомянутый в самом конце главы, впервые в истории появился в фильме Фрица Ланга «Женщина на Луне», вышедшем на экраны в 1929 году. Внешний черно-белый, шахматный вид представленной там космической ракеты неотличим от будущей ФАУ-2.
 


[1] В оригинале это вымышленное место именуется Mingeborough, «minge» на британском сленге означает женские лобковые волосы и женские половые органы, так что перевод весьма точен. Мандаборо является также местом действия рассказа Пинчона «Секретная интеграция»; отсылки к этому произведению будут далее отмечены в комментарии.
[2] Подобные Норме и Марджори двойники перечислены в разделе «Фрики и Фраки»."
