page_number_by_2012,page_number_by_2021,name,comment_text,image,book_id,chapter_id,sort,author_id
3,7,Вернер фон Браун/Wernher von Braun,"Выдающийся немецкий и американский ученый (1912-1977), конструктор ракетно-космической техники, основоположник современного ракетостроения и один из создателей ФАУ-2 (V-2). Член НСДАП с 1937 года, штурмбаннфюрер СС (1943-1945). В июле 1943 года Гитлер лично присвоил ему звание профессора после просмотра презентации ФАУ-2. Находился на 1-м месте в «Списке Ставера» - перечне немецких ученых и инженеров, которые подлежали немедленному задержанию, допросу и последующей эвакуации. В США работал над программой баллистических ракет средней дальности (то есть от 3000 до 5500 км), считается также отцом американской космической программы. Эпиграф взят из статьи фон Брауна «Why I Believe in Immortality», опубликованной в книге Уильяма Николса «The Third Book of Words to Live By» (1962).",Гл1.1_стр3_Вернер_фон_Браун.jpg,1,1,1,1
3,9,Железная королева/Iron queen,"Есть несколько версий того, что имеется в виду:
большая металлическая кровать, сделанная по заказу королевы Виктории (отсюда название) и имевшая то преимущество перед деревянными, что в ней не водились клопы; 
статуя королевы Виктории; 
лондонский вокзал Виктория; 
так в “Одиссее” называют Персефону.
",,1,1,2,1
3,9,Хрустальный дворец/Crystal palace,"Здание, построенное в Лондоне (Гайд-парк) ко Всемирной выставке 1851 года (на рис. открытка середины века). Было новаторским для своего времени, так как состояло из деревянных перекрытий, листового стекла, железных балок и чугунных опорных стоек.  Предусматривалась возможность полной разборки здания и его переноса на другое место, что, собственно, и произошло в 1854 году – дворец переместили в престижный район Сиденхем-Хилл (южный Лондон). До начала XX века использовался в качестве выставочного павильона. Был уничтожен пожаром 30 ноября 1936 года, по мнению многих (к примеру, Уинстона Черчилля) символизирующим конец эпохи. Сохранившаяся после пожара северная башня была уничтожена в апреле 1941 года из-за опасений ее использования в качестве ориентира немецкой авиацией. Во время Второй мировой войны (далее – ВМВ) на территории бывшего дворца была организовано производство высокотехнологичного военного оборудования.
",Гл1.1_стр3_Хрустальный_дворец.jpg,1,1,3,1
3,9,Хряст,"Шум, хруст, треск (по словарю Даля)",,1,1,4,1
4,10,Лигроиновая зима/naphtha winters,"Лигроин – жидкость, представляющая из себя горючую смесь жидких углеводородов, более тяжёлая, чем бензин, являющейся продуктом нефтепереработки. Может использоваться в качестве топлива в осветительных приборах и горелках для отопления, так как при горении лигроина не образуется сажи и может происходить неполное разложение его компонентов, что и определяет запах такого пламени.",,1,1,1,1
4,10,Шкивы / pulleys,"Приводное колесо, предназначенное для передачи движения приводному канату.
",,1,1,2,1
4,10,Нишкнутых номеров/hushed rooms,"Образовано от «нишкнуть» – ни шикнуть, не молвить ни словечка, молчать, ни пикнуть (по словарю Даля). В издании 2021 года - «притихших номеров».
",,1,1,3,1
5,11,Не знавших «гувера» коврах/un-Hoovered rugs,"В словосочетании обнаруживается два смысла, буквальный и скрытый.
 Буквальный смысл: Hoover – американская марка бытовой техники, принадлежащая группе компаний Candy Group. Hoover была основана в 1908 году предпринимателем из Огайо Уильямом Хувером и почти сразу выпустила первый в мире пылесос. С 1919 году пылесосы Hoover начали продаваться в Великобритании. Вскоре  “гувер” стал именем нарицательным для пылесоса в англоязычном мире. 
Скрытый смысл: Эдгар Гувер/John Edgar Hoover был директором ФБР с 1924 по 1972 годы; в полномочия этой организации входит в том числе, борьба с наркотиками. Фраза созвучна “un-Hoovered-drugs”, то есть “не найденные Гувером наркотики”. ",,1,1,1,1
5,11,В двенадцати футах над головой,"То есть чуть более 3,5 метров. В первом русском издании 2012 года в переводе была неточность: «двадцать футов» вместо двенадцати.",,1,1,2,1
5,11,Директорат особых операций / Special Operations Executive,"Британская спецслужба, просуществовавшая с июля 1940 по январь 1946 года. ДОО осуществляла разведывательную и диверсионную деятельность на территориях нацистской Германии, оккупированных ею европейских стран, а также в оккупированных Японией государствах Юго-Восточной Азии. Сам факт существования ДОО был засекречен на протяжении всей ВМВ. К наиболее известным и успешным операциям ДОО можно отнести убийство начальника Главного управления имперской безопасности Рейнхарда Гейдриха в Праге в 1942 году, атаки на завод по производству используемой в ядерных разработках тяжелой воды в норвежском Вемарке в 1942–43 годах. На рис. эмблема ДОО.
",Гл1.1_стр5_Директорат_особых_операций.jpg,1,1,3,1
5,12,Мидель,"От нидерл. middel, буквально — средний, середина. Наибольшее по площади поперечное сечение объекта, движущегося в воде или воздухе (на рис.)",Гл1.1_стр5_Мидель.jpg,1,1,4,1
5,12,Фатера / Maisonette,"Фатера - квартира, помещение, жилье, стоянка. Maisonette означает, что квартира двухуровневая.
",,1,1,5,1
5,12,Россетти / Rossetti,"Данте Габриэль Россетти (1828-1882) был поэтом и одним из крупнейших художников-прерафаэлитов; знаменитой поэтессой была и его сестра, Кристина Джорджина Россетти (1830-1894).
",,1,1,6,1
5,12,Алкалоиды,"Группа соединений природного происхождения (чаще всего растительного); интересны своей активностью на организм человека: они применялись в медицине, в качестве ядов, наркотических средств. Морфин, кофеин, хинин - вот лишь малая часть известных алкалоидов.
",,1,1,7,1
5,12,Хрюшки уэссекс-сэдлбек/Wessex Saddleback sows,"Британская порода свиней оригинальной черно-белой окраски (на фото); пик ее популярности пришелся на первую половину ХХ века.
",Гл1.1_стр5_Хрюшки_уэссекс-сэдлбек.jpg,1,1,8,1
5,12,Эпикурейцы,"Эпикуреизм - античное философское учение, исходившее из идей Эпикура (конец IV - начало III вв. до н.э.). Цель жизни по Эпикуру – отсутствие страданий, здоровье тела и состояние безмятежности духа. В разговорной речи употребляется как синоним гедонизма.
",,1,1,9,1
5,12,Лессировалось/got scumbled together,"Лессировка (от нем. Lasierung — глазурь), глизаль или глейз (от англ. Glaze — глазурь, глянец) — техника получения глубоких переливчатых цветов за счет нанесения полупрозрачных красок поверх основного цвета.",,1,1,10,1
5,12,Импасто / impasto,"Прием в живописи, означает нанесение густого фактурного слоя краски (на рис. картина художника Ли Сонгсонга (LiSongsong), родившегося в 1973 г. (год выхода «Радуги тяготения»)).
",Гл1.1_стр5_Импасто.jpg,1,1,11,1
5,12,Форт-Лами / Fort-Lamy,"Город во Французской Экваториальной Африке, большая часть которой во время ВМВ находилась под контролем сил Сопротивления. Аэропорт в Форт-Лами использовался как перевалочный пункт при доставке в Европу авиагрузов. В настоящее время город называется Нджамена (столица Чада). ",,1,1,12,1
6,12,Французское окно/French window,"В архитектуре французского классицизма второй половины XVII в. представляло собой сильно вытянутый по вертикали проём с мелкой расстекловкой, арочным завершением и «французским балконом» в нижней части — небольшим выступом с узорной решёткой. Сейчас под французским окном понимается светопрозрачная конструкция, у которой основание оконного блока упирается в пол и совмещает функцию окна и двери. Судя по контексту, в арендуемом Апереткиным доме XIX века использовался современный вариант французского окна.",,1,1,1,1
6,13,Газгольдер/gasworks,"От англ. gas holder, резервуар для хранения газообразных веществ, таких, например, как природный газ, биогаз, сжиженный нефтяной газ, воздух и т. д. Апереткин смотрит на ту же электростанцию, что изображена на обложке альбома Pink Floyd «Animals» (1977).
",Гл1.1_стр6_Газгольдер.jpeg,1,1,2,1
6,13,Паковый лёд/icefields,"Морской лёд толщиной не менее 3 метров, просуществовавший более двух годовых циклов нарастания и таяния.
",,1,1,3,1
8,16,Триоль/triplets,"От фр. Triolet, группа из трёх нот одинаковой длительности, по времени звучания равная двум нотам той же длительности.",,1,2,1,1
9,16,Мисс Грейбл/Miss Grable,"Элизабет Рут «Бетти» Грейбл (1916-1973), американская актриса, танцовщица и певица. 42 фильма с ее участием, вышедшие в 30-40-е годы, собрали более 100 млн. долларов. 12 лет подряд мисс Грейбл становилась самой кассовой знаменитостью. В 1943 году она провела фотосессию с Фрэнком Повольни, во время которой было сделано несколько снимков в обтягивающем купальнике (один из них на фото). Эти фотографии были выпущены в качестве плакатов и получили широкое распространение в американской армии.
",Гл1.2_стр9_Мисс_Грейбл.jpg,1,2,1,1
9,16,ВАТ-69/VAT-69,Недорогое купажированное шотландское виски,,1,2,2,1
9,16,Юнгфрау/the Jungfrau,"Одна из самых известных гор Швейцарии; ее высота составляет 4 158 метров над уровнем моря. Свои названием Юнгфрау («дева», «девственница» с немецкого) обязана монахиням Интерлакена, чей монастырь располагался недалеко от подножия горы.",,1,2,3,1
9,17,Копотливый/tardy,"Медлительный, требующий много времени для исполнения (по словарю Даля).
",,1,2,4,1
10,17,Сэмы брауны/Sam Brown,"Портупея; по имени британского генерала Сэма Брауна (1824-1901), придумавшего одну из ее модификаций (на фото)..",,1,2,1,1
10,18,Атака Легкой Кавалерии/the Charge of the Light Brigade,"Атака британской кавалерии под командованием лорда Кардигана на позиции русской армии во время Балаклавского сражения 25 октября 1854 года (Крымская война). Атака закончилась неудачей, кавалерия дважды попала под перекрестный огонь русской артиллерии и пехоты. Современные историки оценивают потери в 103 человека убитыми, 7 умершими от ран, 130 ранеными, 58 попавшими в плен[1]. Процитированную в книге фразу по преданию произнес один из очевидцев атаки, французский генерал Пьер Боске; в полной своей версии она звучит «C’est magnifique, mais ce n’est pas la guerre: c’est de la folie» («Это великолепно, но это не война: это безумие»). В том, что английский десантник Апереткин использовал ее в качестве девиза, скорее всего, никакой иронии нет – героизм английских кавалеристов в Англии весьма почитаем (см., например, стихотворение А. Теннисона «Атака легкой бригады» (1854)).
",,1,2,2,1
10,18,Креплах/kreplach,"Пельмени треугольной формы, блюдо еврейской (ашкеназской) кухни",,1,2,3,1
11,19,Лагонда/Lagonda,"Марка британских автомобилей класса люкс, производимых с 1906 года. Во время действия романа выпускалась модель V12",,1,2,1,1
11,19,"Крылатый вестовой супергерой/his batman, a Corporal Wayne","В оригинале просто «batman», которого зовут Wayne. Одно из значений слова «batman» в английском языке – «денщик, вестовой». Подробнее см. комментарий к главе I-2.
",,1,2,2,1
11,19,Ведьмины соски/the nipple on a witch’s tit,"Обладающие пониженной чувствительностью образования на коже, которые во времена охоты на ведьм считались одним из главных доказательств сделки с дьяволом. По одной из версий, такие образования являлись симптомами ранней стадии проказы.
",,1,2,3,1
